"name";"weight"
"Arbós";"1"
"Arcas";"2"
"Arco";"1"
"Arcos";"3"
"Arcos Sundqvist";"1"
"Ardanaz";"1"
"Ardura";"1"
"Arechavaleta";"1"
"Areizaga";"1"
"Arellano";"2"
"Arenas";"1"
"Arenzana";"1"
"Ares";"3"
"Areso";"2"
"Arevalo";"1"
"Arévalo";"1"
"Arganese-McDermott";"1"
"Argemí";"1"
"Argente";"1"
"Argos";"1"
"Argüelles";"1"
"Arguibide";"1"
"Arias";"2"
"Aridai";"1"
"Ariel";"1"
"Aritz";"1"
"Ariza";"1"
"Arjona";"1"
"Arkaitz";"1"
"Arman";"1"
"Armas";"1"
"Armenta";"1"
"Armental";"1"
"Armenteros";"1"
"Armero";"1"
"Arnáiz";"1"
"Arnal";"1"
"Arnau";"2"
"Arnau Martínez";"1"
"Arnedo";"1"
"Arnu";"1"
"Arqués";"1"
"Arranz";"1"
"Arrasate";"2"
"Arratibel";"1"
"Arrebola";"1"
"Arredondo";"1"
"Arregi";"1"
"Arregui";"1"
"Arriaga";"1"
"Arriaza";"1"
"Arriazu";"1"
"Arribas";"3"
"Arrillaga";"1"
"Arrizabalaga";"2"
"Arroyo";"6"
"Arruabarrena";"1"
"Artero";"1"
"Artetxe";"2"
"Artiles";"1"
"Artola";"1"
"Arturo Rodríguez";"1"
"Arumí";"1"
"Arvelo";"1"
"Arza";"1"
"Arzak";"1"
"Arzalluz";"1"
"Arzuaga";"1"
"Asdrúbal";"1"
"Asencio";"2"
"Asensio";"1"
"Asiel";"1"
"Asier García";"1"
"Asier Ortiz";"1"
"Asier Sansi";"1"
"Aspar";"1"
"Aspas";"2"
"Aspra";"1"
"Astals";"1"
"Astiazarán";"1"
"Astigarraga";"1"
"Astralaga";"1"
"Astray";"1"
"Atemkeng Afuetozia";"1"
"Athuman";"1"
"Atienza";"3"
"Ato";"1"
"Aurelio";"1"
"Auria";"1"
"Aurtenetxe";"1"
"Auzmendi";"1"
"Avanzini";"1"
"Ávila";"3"
"Avilés";"1"
"Axel";"1"
"Ayala";"3"
"Ayensa";"3"
"Ayerdi";"1"
"Ayesa";"1"
"Ayllón";"1"
"Ayman";"1"
"Ayoub";"1"
"Ayoze";"1"
"Ayoze Pérez";"1"
"Aythami";"2"
"Azael García";"1"
"Azarloza";"1"
"Azcona";"1"
"Azeez";"2"
"Azkue";"1"
"Azkune";"1"
"Aznar";"4"
"Aznou";"1"
"Azofra";"1"
"Azón";"2"
"Azpilicueta";"1"
"Baabit";"1"
"Baba";"1"
"Bacharach";"1"
"Bachuri";"1"
"Badal";"1"
"Badia";"1"
"Badía";"1"
"Badiola";"2"
"Baena";"3"
"Baeza";"1"
"Bafounta";"1"
"Bah";"1"
"Baha";"1"
"Bailón";"1"
"Baixaulí";"1"
"Bajcetic";"1"
"Bakero";"1"
"Bala";"1"
"Balboa";"1"
"Balda";"2"
"Balde";"1"
"Baldé";"3"
"Baldo";"1"
"Baldobar";"1"
"Baldrich";"1"
"Baleani";"1"
"Balerdi";"1"
"Ballarín";"1"
"Ballero";"1"
"Ballesté";"1"
"Ballestero";"1"
"Ballesteros";"3"
"Balliu";"1"
"Bandeh";"1"
"Bañuz";"1"
"Barahona";"1"
"Barandalla";"1"
"Barandiaran";"1"
"Barattucci";"1"
"Barba";"4"
"Barbarín";"1"
"Barberà";"1"
"Barbero";"2"
"Barbosa";"1"
"Barcia";"2"
"Barco";"1"
"Barcón";"1"
"Barea";"4"
"Barella";"1"
"Barikhashvili";"1"
"Barja";"1"
"Barnils";"1"
"Baro";"1"
"Baró";"3"
"Barquero";"1"
"Barrachina";"1"
"Barreda";"1"
"Barredo";"1"
"Barreiros";"1"
"Barrenetxea";"2"
"Barrera";"2"
"Barreto";"1"
"Barriga";"1"
"Barrio";"1"
"Barrios";"2"
"Barris";"1"
"Barroso";"2"
"Bartra";"1"
"Bartual";"1"
"Barzic";"1"
"Bas";"1"
"Baselga";"1"
"Bastida";"1"
"Bastos";"1"
"Batalla";"1"
"Batán";"1"
"Batanero";"1"
"Bautista";"4"
"Bauzà";"2"
"Bayarri";"1"
"Bayo";"1"
"Bazaga";"1"
"Beamonte";"1"
"Becerra";"2"
"Bedia";"1"
"Beitia";"2"
"Bejarano";"1"
"Bekhoucha";"1"
"Belaid";"1"
"Belategi";"1"
"Belhadji";"1"
"Beli";"1"
"Bellari";"1"
"Bellerín";"1"
"Bello";"1"
"Belman";"1"
"Belmonte";"1"
"Beltran";"1"
"Beltrán";"2"
"Belza";"1"
"Beñat García";"1"
"Beñat González";"1"
"Benavides";"1"
"Benedet";"1"
"Beneit";"1"
"Bengoa";"1"
"Bengoetxea";"2"
"Benítez";"2"
"Benito";"13"
"Benja";"1"
"Benjamín";"1"
"Beobide";"1"
"Berasaluce";"1"
"Berenguer";"1"
"Bergés";"1"
"Berlana";"1"
"Berlanga";"2"
"Bermejo";"5"
"Bernabé";"2"
"Bernabéu";"4"
"Bernad";"1"
"Bernal";"6"
"Bernard";"1"
"Bernárdez";"1"
"Bernardo";"1"
"Bernat";"2"
"Berraco";"1"
"Berrocal";"1"
"Berry";"1"
"Berto";"1"
"Bertomeu";"1"
"Berzal";"2"
"Besio";"1"
"Betancor";"2"
"Beto Plaza";"1"
"Bezina";"1"
"Bicho";"2"
"Biel";"1"
"Biesa";"1"
"Bigas";"1"
"Bilali";"1"
"Bilbao";"3"
"Bili";"1"
"Bioque";"1"
"Blanco";"10"
"Blas";"1"
"Blasco";"2"
"Blázquez";"4"
"Blesa";"2"
"Boakye-Osei";"1"
"Boayar";"1"
"Bobadilla";"1"
"Bodian";"1"
"Boedo";"2"
"Boiro Balde";"1"
"Boix";"1"
"Bolado";"1"
"Bolívar";"1"
"Bolo";"1"
"Bombardó";"2"
"Bonachera";"1"
"Bonafé";"1"
"Bonaque";"1"
