"name";"weight"
"Bruno";"16"
"Bruno Guimarães";"1"
"Bryan";"5"
"Buba";"1"
"Buru";"1"
"Busi";"1"
"Byron";"2"
"Cacho";"1"
"Cadete";"1"
"Caio Henrique";"1"
"Cameron";"1"
"Canario";"1"
"Canty";"1"
"Capa";"1"
"Capi";"2"
"Carles";"6"
"Carles Pérez";"1"
"Carlitos";"1"
"Carlo";"1"
"Carlo Adriano";"1"
"Carlos";"89"
"Carlos Alberto";"1"
"Carlos Becken";"1"
"Carlos Daniel";"1"
"Carlos Fernández";"2"
"Carlos García";"4"
"Carlos González";"1"
"Carlos Isaac";"1"
"Carlos Julio";"1"
"Carlos López";"3"
"Carlos Pérez";"1"
"Carlos Sánchez";"3"
"Carmelo";"1"
"Carmona";"1"
"Casemiro";"1"
"Casti";"1"
"Castri";"1"
"Caye";"1"
"Cayetano";"2"
"Cedric";"1"
"Cédric";"1"
"Celso";"1"
"Ceri";"1"
"César";"12"
"César García";"1"
"César Sánchez";"1"
"Cesc";"1"
"Chabo";"1"
"Chadi";"1"
"Chaky";"1"
"Champi";"1"
"Charbel";"1"
"Charles";"1"
"Charlie";"3"
"Charly";"2"
"Chata";"1"
"Chato";"2"
"Checa";"1"
"Chechu";"3"
"Cheli";"1"
"Chema";"5"
"Chema Andrés";"1"
"Chema Rodríguez";"1"
"Chete";"1"
"Chicha";"1"
"Chiki";"1"
"Chinchu";"1"
"Chiqui";"1"
"Chirri";"1"
"Choco";"1"
"Chopi";"1"
"Chris";"1"
"Christian";"15"
"Christian Martínez";"1"
"Chuca";"1"
"Chuki";"1"
"Chuli";"1"
"Chuma";"1"
"Chumbi";"1"
"Chumi";"1"
"Chupete";"1"
"Chupi";"1"
"Chupo";"1"
"Churre";"1"
"Chus";"3"
"Cifu";"1"
"Claudio";"1"
"Coba";"1"
"Cobel";"1"
"Coke";"2"
"Coro";"1"
"Cris";"2"
"Cristhian";"1"
"Cristian";"29"
"Cristian Arceo";"1"
"Cristian David";"1"
"Cristian Fernández";"1"
"Cristian Rodríguez";"1"
"Cristo";"4"
"Cristo García";"1"
"Cristóbal";"2"
"Cucho";"1"
"Curro";"4"
"Dailos";"1"
"Dalisson";"1"
"Damià";"3"
"Damián";"5"
"Dan";"2"
"Danel";"2"
"Dani";"86"
"Dani Benítez";"1"
"Dani Díaz";"1"
"Dani Fernández";"5"
"Dani García";"3"
"Dani Garrido";"1"
"Dani González";"2"
"Dani Marti";"1"
"Dani Martínez";"2"
"Dani Pérez";"3"
"Dani Rodríguez";"2"
"Dani Sánchez";"1"
"Dani Soria";"1"
"Daniel";"17"
"Daouda";"1"
"Darío";"10"
"Darío García";"1"
"Darwin";"1"
"David";"110"
"David Fernández";"2"
"David García";"2"
"David González";"1"
"David López";"6"
"David Rodríguez";"2"
"David Sánchez";"2"
"David Simón";"1"
"Davinchi";"1"
"Davino";"1"
"Davo";"3"
"Davo Fernández";"1"
"Dawda";"1"
"Dean";"1"
"Deco";"1"
"Denis";"2"
"Dennis";"4"
"Derek";"1"
"Diamanka Senghor";"1"
"Dídac";"2"
"Diego";"75"
"Diego Alcides";"1"
"Diego Barri";"1"
"Diego Costa";"1"
"Diego Fernández";"1"
"Diego García";"3"
"Diego Gómez";"1"
"Diego González";"2"
"Diego Guti";"1"
"Diego López";"3"
"Diego Martínez";"1"
"Diego Percan";"1"
"Diego Pérez";"1"
"Diego Rodríguez";"2"
"Diego Sánchez";"1"
"Dieguito";"3"
"Dilan";"1"
"Dima";"1"
"Dioni";"1"
"Djiby";"1"
"Domenic";"1"
"Domi";"1"
"Domingo";"1"
"Dominique";"1"
"Dopi";"1"
"Dro";"1"
"Dylan";"2"
"Echedey";"1"
"Echu";"1"
"Eder";"2"
"Éder";"1"
"Eder García";"1"
"Éder Militão";"1"
"Edgar";"3"
"Édgar";"2"
"Edipo";"1"
"Edu";"17"
"Edu García";"1"
"Edu Sánchez";"2"
"Eduardo";"5"
"Edwin";"1"
"Egoitz";"3"
"Einar";"1"
"Ekain";"3"
"Ekain Díaz";"1"
"Ekaitz";"2"
"Ekhi";"1"
"Ekhiotz";"1"
"Elady";"1"
"Elías";"2"
"Elías Pérez";"1"
"Eliezer";"1"
"Elijah";"1"
"Eliseo";"1"
"Elliot";"1"
"Eloi";"1"
"Eloy";"2"
"Elvio";"1"
"Elyaz";"1"
"Emi";"1"
"Emiliano";"1"
"Emilio";"7"
"Emmanuel";"1"
"Eñaut";"2"
"Endika";"4"
"Eneko";"13"
"Enmanuel";"1"
"Enol";"2"
"Enol Rodríguez";"1"
"Enric";"6"
"Enric Garcia";"1"
"Enric Martínez";"1"
"Enrique";"9"
"Enzo";"7"
"Eric";"9"
"Éric";"1"
"Èric";"3"
"Eric García";"1"
"Eric Pérez";"1"
"Erik";"6"
"Erlantz";"1"
"Ernest";"2"
"Ernesto";"1"
"Espí";"1"
"Estanis";"1"
"Esteban";"3"
"Esteve";"1"
"Ethan";"1"
"Ethyan";"1"
"Etienne";"1"
"Eu";"1"
"Eudald";"1"
"Eugeni";"1"
"Euse";"1"
"Ez Abde";"1"
"Ezequiel";"3"
"Fabián";"4"
"Fabio";"5"
"Fabricio";"3"
"Facundo";"2"
"Fali";"1"
"Farru";"1"
"Fausto";"1"
"Fede";"3"
"Federico";"4"
"Feli";"1"
"Felip";"1"
"Felipe";"5"
"Félix";"1"
"Fèlix";"1"
"Femi";"1"
"Fer";"13"
"Fer López";"1"
"Fer Pérez";"1"
"Fer Rodríguez";"1"
"Fermín";"6"
"Fernán";"1"
"Fernando";"18"
"Ferni";"1"
"Ferran";"4"
"Ferrán";"2"
"Ferran Gómez";"1"
"Fidel";"2"
"Fito";"1"
"Flavio";"2"
"Florian";"2"
"Florin";"1"
"Fran";"43"
"Fran García";"5"
"Fran Gil";"1"
"Fran González";"3"
"Fran López";"2"
"Fran Martínez";"1"
"Fran Pacolí";"1"
"Fran Pérez";"2"
"Fran Rodríguez";"1"
"Fran Sánchez";"1"
"Franc";"1"
"Francesc";"1"
"Francesco";"1"
"Francho";"1"
"Francis";"2"
"Francisco";"8"
"Francisco Javier";"2"
"Franco Jr.";"1"
"Frodo";"1"
"Froi Leal";"1"
"Gabi";"2"
"Gabi Fernández";"1"
"Gabri";"6"
"Gabri Martínez";"1"
"Gabri Palmero";"1"
"Gabriel";"3"
"Gabriel Paulista";"1"
"Gabriel Rodríguez";"1"
"Gael";"1"
"Gaizka";"7"
"Gaizka García";"1"
"Galo";"1"
"Galy";"1"
"Garaboa";"1"
"Garat";"1"
"Garci";"1"
"García Pascual";"1"
"Garri";"1"
"Garry";"1"
"Gary";"1"
"Gaspar";"2"
"Gassan";"1"
"Gastón";"1"
"Gatito Fernández";"1"
"Gato";"3"
"Gavi";"1"
"Genar";"1"
"Genaro";"1"
"Genís";"3"
"George";"1"
"Geovanni";"1"
"Gerard";"18"
"Gerard Gonzàlez";"1"
"Gerardo";"2"
