"name";"weight"
"Emir-Ahmet";"1"
"Emirhan";"1"
"Emmanuel";"9"
"Emre";"5"
"Enes";"1"
"Engjëll";"1"
"Enis";"2"
"Enoch";"1"
"Enrique";"3"
"Enzo";"2"
"Ephraim";"2"
"Erdal";"1"
"Erdem";"1"
"Erdogan";"1"
"Eren";"2"
"Eric";"9"
"Éric";"1"
"Eric Maxim";"1"
"Erich";"1"
"Erik";"11"
"Erion";"1"
"Ermedin";"1"
"Ermin";"1"
"Ernest";"1"
"Eroll";"1"
"Eros";"1"
"Ersin";"1"
"Ethan";"1"
"Etienne";"2"
"Étienne";"1"
"Evans";"1"
"Exaouse";"1"
"Eymen";"1"
"Eyyüb";"1"
"Faaris";"1"
"Fabian";"32"
"Fabiano";"1"
"Fabio";"14"
"Fabrice";"2"
"Fadhel";"1"
"Fadi";"1"
"Faik";"1"
"Falko";"1"
"Farid";"2"
"Faride";"1"
"Faris";"1"
"Fatih";"3"
"Fatlum";"1"
"Faton";"1"
"Fayssal";"1"
"Federico";"1"
"Felipe";"1"
"Felix";"44"
"Ferdinand";"4"
"Ferhat";"1"
"Fernando";"1"
"Fiete";"2"
"Filimon";"1"
"Filip";"3"
"Finn";"13"
"Firat";"1"
"Fisnik";"1"
"Flamur";"1"
"Flavio";"1"
"Florent";"2"
"Florian";"34"
"Florijon";"1"
"Fousseny";"1"
"Francesco";"3"
"Francis";"1"
"Frank";"3"
"Frans";"1"
"Franz";"5"
"Franz Xaver";"1"
"Frederic";"2"
"Frederik";"4"
"Fridolin";"1"
"Friedrich";"2"
"Fritz";"3"
"Furkan";"1"
"Fynn";"8"
"Gabriel";"7"
"Gabriele";"1"
"Gaoussou";"1"
"Gavin";"1"
"Gennaro";"1"
"Georg";"1"
"George";"1"
"Georgios";"2"
"Gerhard";"1"
"Gerrit";"5"
"Gianluca";"6"
"Giannis";"1"
"Gibson";"1"
"Gideon";"2"
"Gino";"1"
"Giorgio";"1"
"Giulio";"1"
"Glenn Jorge";"1"
"Glory Kiveta";"1"
"Gökalp";"1"
"Gökhan";"1"
"Göktan";"1"
"Goran";"1"
"Gordon";"2"
"Gotoku";"1"
"Grace";"1"
"Grant";"1"
"Grischa";"1"
"Günay";"1"
"Gustav";"1"
"Güven";"1"
"Hakan";"1"
"Hakim";"1"
"Hamed";"1"
"Hamza";"4"
"Hannes";"5"
"Hans";"3"
"Hany";"2"
"Harmony";"1"
"Haron";"1"
"Harun";"1"
"Hassan";"3"
"Hauke";"1"
"Haymenn";"1"
"Heinz";"1"
"Hendrick";"1"
"Hendrik";"6"
"Hendry";"1"
"Hennes";"1"
"Henning";"1"
"Henok";"1"
"Henri";"4"
"Henrik";"2"
"Henrique Menke";"1"
"Henry";"5"
"Herbert";"2"
"Herdi";"1"
"Heribert";"1"
"Hilal";"1"
"Hiran";"1"
"Holger";"1"
"Houssam";"1"
"Hugo";"2"
"Husseyn";"1"
"Ian";"1"
"Iba";"1"
"Ibrahim";"4"
"Idrissa";"1"
"Igli";"1"
"Igor";"1"
"Ihlas";"1"
"Ikem";"1"
"Ilias";"4"
"Iliya";"1"
"Ilkay";"1"
"Ilyas";"1"
"Ingo";"2"
"Ioan";"1"
"Ioannis";"1"
"Irfan";"1"
"Irichad";"1"
"Isa";"1"
"Isaac";"2"
"Isaiah";"1"
"Ishak";"1"
"Ishmael";"1"
"Isma";"1"
"Ismael";"1"
"Ismail";"2"
"Ivan";"2"
"Ivica";"1"
"Izzet";"1"
"Jack";"2"
"Jackson";"1"
"Jacob";"2"
"Jaden";"1"
"Jahn";"1"
"Jahnoa";"1"
"Jaime";"1"
"Jake";"1"
"Jakob";"14"
"Jakub";"1"
"Jamal";"4"
"Jamel";"1"
"Jamie";"4"
"Jamil";"3"
"Jan";"23"
"Jan Erik";"1"
"Jan Luca";"1"
"Jan-Christoph";"1"
"Jan-Erik";"1"
"Jan-Hendrik";"1"
"Jan-Luca";"4"
"Jan-Lucas";"1"
"Jan-Lukas";"2"
"Jan-Marc";"1"
"Jan-Mattis";"1"
"Jan-Miklas";"1"
"Jan-Simon";"1"
"Janek";"2"
"Janik";"4"
"Janis";"2"
"Jann";"1"
"Janne";"2"
"Jannes";"10"
"Janni";"1"
"Jannic";"1"
"Jannick";"2"
"Jannik";"15"
"Jannis";"11"
"Jano";"1"
"János";"2"
"Jarne";"2"
"Jarzinho";"1"
"Jascha";"2"
"Jasha";"1"
"Jason";"6"
"Jason Lee";"1"
"Jasper";"1"
"Jassin";"1"
"Jayden";"2"
"Jayson";"1"
"Jean";"1"
"Jean-Manuel";"1"
"Jean-Marie";"1"
"Jean-Paul";"1"
"Jeff";"1"
"Jeff-Denis";"1"
"Jeffrey";"1"
"Jegor";"1"
"Jelani";"1"
"Jemain";"1"
"Jens";"3"
"Jeremiah";"3"
"Jeremiaha";"1"
"Jeremias";"1"
"Jeremie";"1"
"Jeremy";"4"
"Jerik";"1"
"Jermain";"1"
"Jeroen";"1"
"Jerome";"2"
"Jeron";"1"
"Jesaja";"1"
"Jesper";"3"
"Jesse Edem";"1"
"Jessic";"1"
"Jhonny";"1"
"Jid";"1"
"Jihad";"1"
"Joe";"1"
"Joel";"8"
"Joey";"2"
"Johan";"1"
"Johann";"4"
"Johannes";"12"
"John";"4"
"Johnathan";"1"
"Jomaine";"1"
"Jon";"1"
"Jona";"3"
"Jonah";"6"
"Jonas";"42"
